gene,count
DNAH7,1213
DNAH8,1035
DNAH9,2419
DNAI1,1133
DNAJA1,59418
DNAJA3,8762
DNAJB12,11073
DNAJB2,28721
DNAJB4,7104
DNAJB5,9792
DNAJC10,52452
DNAJC17,4164
DNAJC9,39343
DNASE1L3,1760
DNM1,8059
DNM2,23095
DNMT1,28861
DNMT3A,9371
DNMT3B,3938
DNPEP,6453
DNTT,651
DOC2A,1934
DOCK9,19184
DOK5,1432
DOK7,1415
DOT1L,18365
DPAGT1,6293
DPF2,10899
DPF3,763
DPM1,24957
DPP4,2582
DPP8,9664
DPPA2,1453
DPT,17038
DPY19L2,3614
DPYD,12515
DPYSL2,16592
DRAM1,11022
DRC1,945
DRC3,1518
DRD1,539
DRD2,683
DRD3,1123
DRD5,2591
DRG1,21508
DSC3,666908
DSG1,519
DSG2,39184
DSG3,245284
DST,129747
DTNA,2589
DTNBP1,5307
DTX1,2662
DUOX2,14136
DUOXA1,13097
DUOXA2,4543
DUSP13,812
DUSP23,16832
DUSP28,5092
DUSP5,28408
DUSP6,23354
DUX4,8459
DVL1,7415
DVL2,14809
DVL3,21977
DYDC1,529
DYNC1H1,26476
DYRK1A,34047
DYRK1B,4685
DZIP1L,11296
E2F1,26303
E2F3,6986
E2F4,7506
E4F1,3066
EBF1,7896
EBF2,373
EBI3,1078
EBP,30617
ECD,10424
ECE1,52438
ECEL1,984
ECHDC1,21955
ECHS1,18670
ECM1,125345
ECPAS,35864
ECRG4,1231
ECSIT,5331
EDA,973
EDIL3,1535
EDN1,3771
EDNRA,22661
EDNRB,3102
EDRF1,3419
EED,10983
EEF1A2,649
EEF1AKNMT,6396
EEF1G,1147386
EFHC1,4450
EFHC2,2511
EFNB2,21667
EFR3A,29044
EFR3B,1303
EFS,17241
EFTUD2,6477
EGF,552
EGFL6,3004
EGFL7,9040
EGFL8,2780
EGFR,37948
EGLN1,18551
EGLN3,13087
EGR2,3222
EGR3,9005
EGR4,792
EHBP1,15398
EHF,65330
EHMT1,9149
EHMT2,9750
EID1,32590
EIF1AD,9545
EIF1AY,40
EIF1B,17949
EIF2AK2,22441
EIF2AK3,20919
EIF2AK4,20853
EIF2S1,26028
EIF3A,53866
EIF3C,187402
EIF4A1,144858
EIF4A3,15959
EIF4E,41820
EIF4EBP1,22674
EIF4EBP2,49116
EIF4EBP3,6468
EIF4ENIF1,7396
EIF4G1,92933
EIF5A,73205
EIF5AL1,3993
EIPR1,4594
ELAC1,3316
ELAC2,10299
ELANE,912
ELAVL1,38713
ELF4,25451
ELFN1,2613
ELK1,35126
ELK3,32524
ELK4,18027
ELMOD1,439
ELMOD2,13909
